ticker,industry
AAPL,Tech
MSFT,Tech
NVDA,Tech
AVGO,Tech
ORCL,Tech
CRM,Tech
ADBE,Tech
INTC,Tech
CSCO,Tech
TXN,Tech
JPM,Financials
BAC,Financials
WFC,Financials
GS,Financials
MS,Financials
BLK,Financials
SPGI,Financials
SCHW,Financials
JNJ,Healthcare
PFE,Healthcare
MRK,Healthcare
LLY,Healthcare
TMO,Healthcare
UNH,Healthcare
DHR,Healthcare
AMGN,Healthcare
AMZN,Consumer
WMT,Consumer
COST,Consumer
HD,Consumer
MCD,Consumer
NKE,Consumer
SBUX,Consumer
PG,Consumer
CAT,Industrials
GE,Industrials
HON,Industrials
UPS,Industrials
BA,Industrials
DE,Industrials
XOM,Energy
CVX,Energy
COP,Energy
SLB,Energy
GOOGL,Communication
VZ,Communication
DIS,Communication
NEE,Utilities
DUK,Utilities
SO,Utilities
